4.39	-66.39	49.65	1999	3	16	12	50	48	1.37	1.055	0.014311	-2.5662	0.018968	66	333.81	6.3786e-05	0.13583	1.0501	0.04719	3.2978	0.087733	31.6	4.0287	4.2085	3.8565
4.38	-92.21	35.17	1982	1	21	0	33	54	2.24	0.87593	0.041696	-2.0012	0.050072	141	6554	7.8431e-05	0.27677	1.1923	0.031598	4.9695	0.084681	53	3.5502	3.984	3.1636
4.37	-100.69	36.4	1974	2	15	13	33	49	2.52	NaN	NaN	NaN	NaN	0	NaN	2.9561e-05	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.34	-92.19	35.19	2001	5	4	6	42	12	2.24	0.88023	0.012147	-1.9676	0.025111	9	2212.6	6.0462e-05	0.20855	0.91731	0.31663	3.2753	0.89808	4	0.90934	0.96347	0.85826
4.34	-88.07	38.55	1974	4	3	23	5	2	2.08	NaN	NaN	NaN	NaN	31	NaN	3.6016e-05	0.12423	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.3	-80.796	41.872	2001	1	26	3	3	21.5	1.57	0.92245	0.063865	-1.901	0.14362	16	2086.2	3.922e-05	0.079339	0.76713	0.057922	2.4124	0.12177	7.2	1.5605	2.1721	1.1211
4.3	-96	45.7	1975	7	9	14	54	15	2.5	NaN	NaN	NaN	NaN	0	NaN	1.5504e-06	0.027397	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.28	-89.58	37.16	1990	9	26	13	18	51	2.39	0.90849	0.0168	-5.3168	0.042488	8	989.5	0.0001347	0.41691	2.8139	0.73147	7.7245	1.9069	4	1.0035	1.1066	0.90995
4.28	-89.21	36.84	1987	9	29	0	4	57.2	2.24	0.80569	0.068794	-2.9051	0.13754	29	289.37	0.00045111	0.89142	1.4021	0.12976	4.8614	0.35466	4.8	0.90211	1.2382	0.65724
4.28	-99.41	44.21	1983	3	4	6	32	18.6	2.5	NaN	NaN	NaN	NaN	0	NaN	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.28	-103.1	32.335	1992	1	2	11	45	35.6	2.55	NaN	NaN	NaN	NaN	1	NaN	2.3476e-06	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.28	-89.768	36.096	1989	4	27	16	47	49.8	2.32	NaN	NaN	NaN	NaN	86	NaN	0.0018489	3.4147	NaN	NaN	NaN	NaN	3.2	NaN	NaN	NaN
4.26	-69.91	47.67	1997	10	28	11	44	18	1.67	0.83449	0.024141	-1.795	0.040827	82	184.06	0.00036487	1.0899	0.71565	0.029171	2.8922	0.067579	-6.6	1.1442	1.257	1.0415
4.26	-69.91	47.67	1997	10	28	11	44	18	1.67	NaN	NaN	NaN	NaN	111	NaN	0.00041865	1.0899	NaN	NaN	NaN	NaN	-6.6	NaN	NaN	NaN
4.25	-87.9	32.97	2004	11	7	11	20	25	2.62	NaN	NaN	NaN	NaN	3	NaN	0.000138	0.090443	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.24	-85.43	42.21	2015	5	2	16	23	7	2.45	NaN	NaN	NaN	NaN	1	NaN	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.23	-85.193	34.775	1984	10	9	11	54	0	2.24	0.95331	0.25229	-2.2651	0.55852	25	223.58	0.00042473	0.96994	1.2195	0.10645	4.1865	0.27797	1	1.4512	5.2511	0.40106
4.22	-90.15	35.83	2005	5	1	12	37	32	2.24	0.86048	0.024495	-3.1553	0.048669	90	400.15	0.00041129	1.0144	1.6809	0.087818	5.8224	0.22238	10	1.4889	1.6655	1.3311
4.22	-71.6	43.5	1982	1	19	0	14	42	2.3	0.88157	0.017927	-1.4201	0.043293	14	1432.5	0.00012546	0.25258	0.75328	0.080238	2.7907	0.22363	5	1.0621	1.1735	0.96138
4.18	-77.903	37.587	2003	12	9	20	59	14.1	2.18	NaN	NaN	NaN	NaN	1	NaN	4.3417e-05	0.085439	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.18	-104.96	39.91	1981	3	24	13	3	40	1.78	0.856	0.060474	-0.85808	0.16645	6	Inf	0	0	0.32752	0.027507	1.3581	0.078712	3	0.84718	1.2429	0.57747
