4.85	-72.5	41.5	0	1568	1	1	0	0	0
3.31	-72.5	41.5	0	1574	1	1	0	0	0
3.31	-72.5	41.5	0	1584	1	1	0	0	0
3.31	-72.5	41.5	0	1592	1	1	0	0	0
2.68	-70.8	42.8	0	1643	3	15	12	0	0
4.85	-73	45.5	0	1661	2	10	0	0	0
4.63	-73	45.5	0	1661	2	11	12	0	0
6.67	-70.1	47.6	0	1663	2	5	0	0	0
3.35	-70.1	47.6	0	1663	2	5	21	0	0
3.31	-70.1	47.6	0	1663	2	5	23	0	0
4.01	-70.1	47.6	0	1663	2	6	15	0	0
2.68	-70.1	47.6	0	1663	2	7	14	0	0
2.68	-70.1	47.6	0	1664	1	1	0	0	0
5.16	-70	47.8	0	1665	2	24	0	0	0
2.68	-71.22	46.82	0	1665	10	15	21	30	0
2.65	-71.22	46.82	0	1665	10	16	2	30	0
4.01	-70.5	47.1	0	1668	4	13	13	0	0
2.65	-71.5	42.5	0	1668	12	19	0	0	0
2.68	-69.7	48.15	0	1672	2	1	0	0	0
2.02	-69.7	48.15	0	1673	12	8	0	0	0
2.68	-73.5	41.1	0	1677	12	13	0	0	0
2.65	-73.5	41.1	0	1678	2	13	0	0	0
2.68	-70.8	42.7	0	1685	2	18	0	0	0
2.65	-90.3	34.9	0	1699	12	25	19	0	0
2.02	-70.95	42.6	0	1701	2	10	0	0	0
2.02	-70.95	42.6	0	1701	3	8	0	0	0
2.68	-73.5	41.4	0	1702	1	1	0	0	0
2.68	-71.1	42.4	0	1705	6	27	0	0	0
2.02	-73.5	41.4	0	1711	12	21	0	0	0
2.65	-75.1	40	0	1724	8	16	9	30	0
4.77	-70.8	42.8	0	1727	11	10	3	40	0
2.68	-70.6	42.8	0	1727	11	10	4	35	0
2.68	-70.6	42.8	0	1727	11	10	7	15	0
3.42	-70.6	42.8	0	1727	11	14	22	0	0
2.68	-70.6	42.8	0	1727	11	18	16	20	0
2.68	-70.6	42.8	0	1727	11	24	10	0	0
2.68	-70.6	42.8	0	1727	12	1	0	0	0
2.68	-70.6	42.8	0	1727	12	16	0	0	0
2.68	-70.6	42.8	0	1727	12	19	15	0	0
2.68	-70.6	42.8	0	1727	12	29	3	30	0
3.01	-70.6	42.8	0	1728	1	5	3	0	0
2.02	-71.65	43.6	0	1728	1	12	0	0	0
2.68	-70.6	42.8	0	1728	1	18	2	0	0
2.68	-70.6	42.8	0	1728	2	5	2	30	0
2.68	-70.6	42.8	0	1728	2	8	11	30	0
2.65	-70.8	42.8	0	1728	2	9	18	0	0
3.98	-70.8	42.8	0	1728	2	10	19	0	0
3.45	-70.6	42.8	0	1728	2	10	20	30	0
3.39	-70.8	42.8	0	1728	2	18	15	0	0
2.68	-70.6	42.8	0	1728	5	16	0	0	0
2.68	-70.6	42.8	0	1728	5	24	2	40	0
2.68	-70.6	42.8	0	1728	5	29	1	0	0
2.68	-70.6	42.8	0	1728	6	2	15	0	0
2.68	-70.6	42.8	0	1728	7	30	15	0	0
2.68	-70.6	42.8	0	1728	8	2	3	15	0
2.65	-70.8	42.8	0	1728	8	2	10	0	0
3.35	-70.6	42.8	0	1729	2	10	14	0	0
2.68	-70.6	42.8	0	1729	3	30	19	0	0
2.68	-73.5	41.4	0	1729	8	6	0	0	0
2.68	-70.6	42.8	0	1729	9	19	20	30	0
2.68	-70.6	42.8	0	1729	10	10	21	30	0
2.68	-70.6	42.8	0	1729	11	25	13	0	0
2.68	-70.6	42.8	0	1729	12	9	1	0	0
2.68	-70.6	42.8	0	1730	2	20	1	0	0
2.68	-70.6	42.8	0	1730	2	20	5	0	0
2.68	-70.6	42.8	0	1730	3	9	6	45	0
2.68	-70.6	42.8	0	1730	4	24	1	0	0
2.68	-70.6	42.8	0	1730	12	7	1	20	0
2.02	-70.6	42.8	0	1730	12	22	23	45	0
3.27	-70.8	42.8	0	1730	12	24	3	30	0
2.68	-70.6	42.8	0	1731	1	13	0	0	0
2.68	-70.6	42.8	0	1731	1	19	0	0	0
2.65	-70.8	42.8	0	1731	1	22	5	0	0
2.68	-70.6	42.8	0	1731	1	23	5	0	0
2.68	-70.6	42.8	0	1731	7	16	10	0	0
2.68	-70.6	42.8	0	1731	10	13	4	0	0
2.68	-70.6	42.8	0	1732	2	19	0	0	0
6.25	-73.6	45.5	0	1732	9	16	16	0	0
3.25	-70.6	42.8	0	1734	11	23	5	0	0
2.68	-70.6	42.8	0	1736	2	13	22	45	0
2.68	-70.6	42.8	0	1736	10	12	6	30	0
2.68	-70.6	42.8	0	1736	11	23	7	0	0
2.68	-71	42.4	0	1737	2	17	21	30	0
2.68	-70.6	42.8	0	1737	9	20	15	20	0
2.65	-75.4	39.9	0	1737	12	8	3	58	0
4.84	-74	40.8	0	1737	12	19	3	45	0
3.3	-70.6	42.8	0	1739	8	13	7	30	0
2.68	-70.6	42.8	0	1741	2	5	20	50	0
2.02	-71.2	42.2	0	1741	6	14	15	35	0
2.02	-71.2	42.3	0	1741	12	17	13	0	0
2.68	-71.2	46.8	0	1744	5	27	0	0	0
4.39	-70.9	42.5	0	1744	6	14	15	15	0
2.68	-70.9	42.5	0	1744	6	14	22	0	0
2.68	-70.9	42.5	0	1744	7	1	0	0	0
2.02	-70.9	42.5	0	1744	7	9	0	0	0
2.02	-70.9	42.8	0	1745	1	3	17	0	0
2.02	-70.9	43.2	0	1747	8	25	0	0	0
2.02	-70.9	43.2	0	1751	7	21	0	0	0
3.6	-76.3	40	0	1752	12	17	23	30	0
6.1	-70.3	43	0	1755	11	18	4	30	0
